trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
572411,07:00:00,07:00:00,152252,1,,,,1
572411,07:03:00,07:03:00,152253,2,,,,1
572411,07:06:00,07:06:00,152254,3,,,,1
572411,07:09:00,07:09:00,152255,4,,,,1
572411,07:20:00,07:20:00,152251,5,,,,1
572411,07:30:00,07:30:00,152252,6,,,,1
572412,07:30:00,07:30:00,152252,1,,,,1
572412,07:33:00,07:33:00,152253,2,,,,1
572412,07:36:00,07:36:00,152254,3,,,,1
572412,07:39:00,07:39:00,152255,4,,,,1
572412,07:50:00,07:50:00,152251,5,,,,1
572412,08:00:00,08:00:00,152252,6,,,,1
572413,08:00:00,08:00:00,152252,1,,,,1
572413,08:03:00,08:03:00,152253,2,,,,1
572413,08:06:00,08:06:00,152254,3,,,,1
572413,08:09:00,08:09:00,152255,4,,,,1
572413,08:20:00,08:20:00,152251,5,,,,1
572413,08:30:00,08:30:00,152252,6,,,,1
572414,08:30:00,08:30:00,152252,1,,,,1
572414,08:33:00,08:33:00,152253,2,,,,1
572414,08:36:00,08:36:00,152254,3,,,,1
572414,08:39:00,08:39:00,152255,4,,,,1
572414,08:50:00,08:50:00,152251,5,,,,1
572414,09:00:00,09:00:00,152252,6,,,,1
572415,09:00:00,09:00:00,152252,1,,,,1
572415,09:03:00,09:03:00,152253,2,,,,1
572415,09:06:00,09:06:00,152254,3,,,,1
572415,09:09:00,09:09:00,152255,4,,,,1
572415,09:20:00,09:20:00,152251,5,,,,1
572415,09:30:00,09:30:00,152252,6,,,,1
572416,09:30:00,09:30:00,152252,1,,,,1
572416,09:33:00,09:33:00,152253,2,,,,1
572416,09:36:00,09:36:00,152254,3,,,,1
572416,09:39:00,09:39:00,152255,4,,,,1
572416,09:50:00,09:50:00,152251,5,,,,1
572416,10:00:00,10:00:00,152252,6,,,,1
572417,10:00:00,10:00:00,152252,1,,,,1
572417,10:03:00,10:03:00,152253,2,,,,1
572417,10:06:00,10:06:00,152254,3,,,,1
572417,10:09:00,10:09:00,152255,4,,,,1
572417,10:20:00,10:20:00,152251,5,,,,1
572417,10:30:00,10:30:00,152252,6,,,,1
572418,10:30:00,10:30:00,152252,1,,,,1
572418,10:33:00,10:33:00,152253,2,,,,1
572418,10:36:00,10:36:00,152254,3,,,,1
572418,10:39:00,10:39:00,152255,4,,,,1
572418,10:50:00,10:50:00,152251,5,,,,1
572418,11:00:00,11:00:00,152252,6,,,,1
572419,11:00:00,11:00:00,152252,1,,,,1
572419,11:03:00,11:03:00,152253,2,,,,1
572419,11:06:00,11:06:00,152254,3,,,,1
572419,11:09:00,11:09:00,152255,4,,,,1
572419,11:20:00,11:20:00,152251,5,,,,1
572419,11:30:00,11:30:00,152252,6,,,,1
572420,11:30:00,11:30:00,152252,1,,,,1
572420,11:33:00,11:33:00,152253,2,,,,1
572420,11:36:00,11:36:00,152254,3,,,,1
572420,11:39:00,11:39:00,152255,4,,,,1
572420,11:50:00,11:50:00,152251,5,,,,1
572420,12:00:00,12:00:00,152252,6,,,,1
572421,12:00:00,12:00:00,152252,1,,,,1
572421,12:03:00,12:03:00,152253,2,,,,1
572421,12:06:00,12:06:00,152254,3,,,,1
572421,12:09:00,12:09:00,152255,4,,,,1
572421,12:20:00,12:20:00,152251,5,,,,1
572421,12:30:00,12:30:00,152252,6,,,,1
572422,12:30:00,12:30:00,152252,1,,,,1
572422,12:33:00,12:33:00,152253,2,,,,1
