roi1,extroi1,roi2,extroi2,roi3,extroi3,roi4,extroi4,roiexc1,extroiexc1,roiexc2,extroiexc2,dilroi1,dilroi2,dilroi3,dilroi4,dilroiexc1,dilroiexc2,evaluation,bidir,label,fgnum,hemi,slabel,shemi,nhlabel,wbt,usecortex,tckmaxlen,tckminlen,tckangle,algorithm,select,cutoff,maxDist,maxLen,numNodes,meanmed,maxIter
ATR_roi1_L,.nii.gz,ATR_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Thalamic_Radiation,1,Left,LTR,L,TR,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
ATR_roi1_R,.nii.gz,ATR_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Thalamic_Radiation,2,Right,RTR,R,TR,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
CST_roi1_L,.nii.gz,CST_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Corticospinal,3,Left,LCST,L,CST,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
CST_roi1_R,.nii.gz,CST_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Corticospinal,4,Right,RCST,R,CST,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
CGC_roi1_L,.nii.gz,CGC_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Cingulum_Cingulate,5,Left,LCC,L,CC,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
CGC_roi1_R,.nii.gz,CGC_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Cingulum_Cingulate,6,Right,RCC,R,CC,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
HCC_roi1_L,.nii.gz,HCC_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Cingulum_Hippocampus,7,Left,LCH,L,CH,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
HCC_roi1_R,.nii.gz,HCC_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Cingulum_Hippocampus,8,Right,RCH,R,CH,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
FP_R,.nii.gz,FP_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,0,0,0,0,0,0,0,0,Callosum_Forceps_Major,9,Left,CFMaj,L,CFMAJ,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
FA_L,.nii.gz,FA_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,NO,.nii.gz,0,0,0,0,0,0,1,0,Callosum_Forceps_Minor,10,Right,CFMin,R,CFMIN,1,0,200,10,45,iFOD2,5000,0.1,3,3,100,median,3
