Time,Well,Rhoo_SC,Qo_SC,Qg_SC,Qw_SC,Rs,Bo_inv,SGg,T_sep,P_sep,RGO,API,Bg,Bo,Components,N2,CO2,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10
2017-11-02,RJS-680,820.81,3615.9,1161696.0,47.62,19.2783,0.9599,,315.04,1865706,,,,1.0417751849150954,,,,,,,,,,,,,,,
2018-01-17,RJS-680,858.9,3578.74,1224503.0,1.34,20.95,0.94,,316.78,1777069,,,,1.0638297872340425,,,,,,,,,,,,,,,
2018-04-11,RJS-680,864.0,3578.05,1199266.0,1.79,19.77,0.947,,316.94,1758466,,,,1.0559662090813096,,,,,,,,,,,,,,,
2018-05-15,RJS-680,865.8,3452.74,1236360.0,1.73,18.17,0.941,,316.29,1777033,,,,1.0626992561105209,,0.77,19.75,63.19,8.2,4.47,0.66,1.2,0.27,0.35,0.29,0.35,0.28,0.22,
2018-07-04,RJS-680,856.5,3449.62,1229615.0,0.78,18.84,0.947,,316.14,1759068,,,,1.0559662090813096,,,,,,,,,,,,,,,
2018-09-06,RJS-680,858.3,3467.24,1231547.0,10.35,19.62,0.939,,317.33,1808143,,,,1.0649627263045793,,0.72,20.55,60.53,7.99,4.69,0.82,1.61,0.41,0.69,0.66,0.55,0.37,0.41,
2018-10-02,RJS-680,856.5,3461.04,1192386.0,1.73,17.66,0.945,,317.17,1795326,,,,1.0582010582010584,,,,,,,,,,,,,,,
2018-12-12,RJS-680,858.0,3423.74,1185631.0,0.86,19.16,0.944,0.908,315.15,1714000,,,,1.0593220338983051,,0.75,20.0,63.13,8.16,4.45,0.67,1.21,0.25,0.33,0.24,0.29,0.32,0.17,0.03
2019-02-06,RJS-680,859.0,3455.85,1238255.0,1.82,20.82,0.934,,316.66,1782438,,,,1.070663811563169,,,,,,,,,,,,,,,
2019-04-25,RJS-680,862.9,3378.47,1217165.0,0.68,21.59,0.921,0.898,315.15,1700000,,,,1.0857763300760044,,0.75,20.7,62.91,8.12,4.45,0.69,1.27,0.25,0.33,0.23,0.12,0.09,0.06,0.03
2019-07-04,RJS-680,858.3,3419.03,1223019.0,0.68,20.21,0.938,,315.33,1791785,,,,1.0660980810234542,,,,,,,,,,,,,,,
2017-05-22,LL-60,860.5,4321.0,1445509.0,8.0,18.43,0.945,0.891,299.15,1625000,334.531127053923,32.9392794886694,0.0636300633700258,1.0582010582010584,,0.74,21.41,63.79,7.63,3.79,0.55,0.99,0.22,0.27,0.2,0.17,0.12,0.08,0.04
2017-10-13,LL-60,870.7,4211.59,1389916.0,2.63,21.7,0.941,0.922,312.15,1850000,330.021678273526,31.0129206385667,0.0583201086981575,1.0626992561105209,,0.65,18.88,61.83,9.01,5.48,0.84,1.6,0.32,0.39,0.22,0.18,0.23,0.26,0.11
2018-01-10,LL-60,858.9,4137.58,1406570.0,1.55,18.34,0.955,0.904,317.25,1792400,339.949922418419,33.2456048434044,0.0611777371800042,1.0471204188481675,,0.75,20.92,62.53,8.11,4.52,0.69,1.3,0.25,0.34,0.2,0.15,0.12,0.09,0.03
2018-05-17,LL-60,858.0,4053.12,1413977.0,2.03,19.56,0.945,0.917,312.65,1780000,348.86137099321,33.4184149184149,0.0607106866140163,1.0582010582010584,,0.74,19.9,62.72,8.15,4.54,0.71,1.31,0.31,0.42,0.35,0.34,0.28,0.16,0.07
2018-08-07,LL-60,861.8,3994.3,1417713.0,1.1,17.26,0.944,0.901,318.15,1750000,354.934030994167,32.6912276630309,0.0628377451816476,1.0593220338983051,,0.74,20.11,63.14,8.19,4.53,0.69,1.25,0.27,0.35,0.23,0.17,0.13,0.11,0.09
2018-11-25,LL-60,857.8,3997.83,1438122.0,1.3,18.9,0.94,0.905,317.35,1760000,359.725651165757,33.4568664024248,0.0623236024646086,1.0638297872340425,,0.78,20.11,63.14,8.15,4.39,0.67,1.21,0.26,0.35,0.27,0.27,0.21,0.14,0.05
2019-02-07,LL-60,859.7,3972.78,1448270.0,0.6,15.95,0.94,1.013,317.15,1770000,364.548250847014,33.0922996394091,0.0619324361046147,1.0638297872340425,,0.68,19.88,57.52,8.0,5.54,1.19,2.64,0.79,1.29,1.05,0.79,0.41,0.14,0.08
2019-04-23,LL-60,863.9,3996.45,1476676.0,0.9,19.56,0.932,0.9,316.75,1735000,369.496928524065,32.2921055677741,0.063102106651344,1.0729613733905579,,0.76,20.48,62.93,8.12,4.51,0.69,1.26,0.28,0.36,0.24,0.18,0.11,0.06,0.02
2019-07-03,LL-60,865.0,3932.49,1549271.0,0.79,20.75,0.932,0.892,315.55,1758000,393.966926807188,32.0838150289017,0.0620406054862477,1.0729613733905579,,0.77,20.5,63.29,8.11,4.44,0.67,1.21,0.25,0.32,0.19,0.12,0.06,0.04,0.03
2017-08-15,LL-69,848.94,4267.91,811623.0,2.14,15.5719,0.9674,0.86,314.15,1921000,190.168724270193,35.1784460621481,0.0565244588323904,1.0336985734959685,,0.68,16.19,66.67,8.94,4.56,0.63,1.14,0.23,0.28,0.19,0.19,0.16,0.11,0.03
2017-12-21,LL-69,879.7,4054.01,822933.0,5.28,15.98,0.958,0.935,313.65,1765000,202.992345850158,29.3502898715471,0.0614224727114246,1.0438413361169103,,0.66,15.13,63.25,9.0,5.45,0.95,2.0,0.62,0.93,0.78,0.63,0.38,0.15,0.07
2018-03-10,LL-69,882.3,3984.51,794521.0,1.99,18.44,0.952,0.87,314.15,1804000,199.402435933151,28.8762892440213,0.0601904021158658,1.050420168067227,,0.72,16.13,66.35,8.82,4.61,0.67,1.21,0.22,0.33,0.27,0.28,0.23,0.11,0.05
2018-08-04,LL-69,889.5,3904.52,829713.0,3.13,17.12,0.949,0.959,318.15,1750000,212.500640283569,27.5781337830242,0.0628377451816476,1.053740779768177,,0.66,15.1,62.75,8.98,5.44,0.94,1.91,0.57,0.85,0.89,0.76,0.5,0.51,0.14
2018-11-27,LL-69,881.5,3869.14,833025.0,0.97,16.8,0.952,0.866,318.15,1805000,215.299782380581,29.0218377765173,0.0609230216442567,1.050420168067227,,0.71,15.7,66.69,8.95,4.63,0.66,1.19,0.25,0.33,0.25,0.21,0.18,0.17,0.08
2019-02-09,LL-69,885.7,3832.63,834308.0,0.48,19.11,0.929,0.89,317.35,1798000,217.685505775407,28.2606413006661,0.0610064184303176,1.0764262648008611,,1.13,16.21,64.88,8.73,4.86,0.76,1.43,0.29,0.45,0.37,0.35,0.23,0.13,0.08
2019-05-04,LL-69,883.2,3805.22,789880.0,0.76,16.09,0.944,0.883,316.45,1808000,207.578011258219,28.7128623188406,0.0604969371633116,1.0593220338983051,,0.7,16.3,65.48,8.85,4.81,0.73,1.39,0.31,0.43,0.36,0.24,0.21,0.12,0.07
2018-03-02,LL-90,838.2,3737.69,784213.0,7.49,16.6147,0.9652,,314.68,1808946,,,,1.0360547036883547,,0.72,16.65,66.17,8.76,4.58,0.65,1.16,0.21,0.3,0.23,0.25,0.18,0.14,
