Time;Well;PusChoke;TusChoke;u_RWT;DeltaPManifold;PdsSDV;Qgi;GasMolecularWeightSuite;OilDensitySCSuite;OilFlowRateSCSuite;GasFlowRateSCSuite;WaterFlowRateSCSuite;Rs;Bo_inv;GOR;BSW
02-Nov-2017;RJS-680;3368.62934027778;21.8815511067708;100;73.1943545871311;2214.13948567708;0;26.200628298;820.81;3615.9;1161696;47.62;19.2783;0.9599;321.274371525761;0.0129984277416255
17-Jan-2018;RJS-680;0;24.1575073666043;98.6103854709201;77.241209242079;2194.93017578125;0;26.200628298;858.9;3578.74;1224503;1.34;20.95;0.94;342.160369291985;0.000374293311881299
11-Apr-2018;RJS-680;3351.49963378906;24.3697590827942;97.4204139709473;78.1349182128906;2169.29559326172;0;26.200628298;864;3578.05;1199266;1.79;19.77;0.947;335.173069129833;0.00050002234736748
15-May-2018;RJS-680;3302.88856336806;23.977819442749;100;73.8050537109375;2166.07259114583;0;26.200628298;865.8;3452.74;1236360;1.73;18.17;0.941;358.080828559347;0.00050080041221953
04-Jul-2018;RJS-680;3285.11054144965;23.7901994917128;99.8429209391276;73.3889677259657;2143.35997178819;0;26.200628298;856.5;3449.62;1229615;0.78;18.84;0.947;356.449406021533;0.000226060746580107
06-Sep-2018;RJS-680;3326.99704318576;23.8925249311659;99.6709865993924;73.7724634806315;2181.44835069444;0;26.200628298;858.3;3467.24;1231547;10.35;19.62;0.939;355.195198486404;0.00297619903438876
02-Oct-2018;RJS-680;3305.32826063368;23.8937850528293;99.6807420518663;72.6388278537326;2179.70711263021;0;27.701218912;856.5;3461.04;1192386;1.73;17.66;0.945;344.516677068164;0.000499600031188904
12-Dec-2018;RJS-680;3296.22119140625;23.8927082485623;99.1722276475694;71.1218634711371;2187.43334960938;0;27.701218912;858;3423.74;1185631;0.86;19.16;0.944;346.297031900787;0.000251124218886877
06-Feb-2019;RJS-680;3317.33515082465;23.7657366858588;99.1611082288954;75.2304416232639;2163.64727105035;0;26.18620249;859;3455.85;1238255;1.82;20.82;0.934;358.306928830823;0.000526366021048857
22-May-2017;LL-60;4172.72085336538;23.5710946596586;99.9501424936148;107.897894052359;2242.29571063702;0;25.7;853.6;4321;1445509;8;18.0662;0.964;334.531127053923;0.00184800184800185
13-Oct-2017;LL-60;3873.58772786458;23.3497411939833;100;94.4167921278212;2372.7763671875;0;26.6;860.5;4211.59;1389916;2.63;18.43;0.945;330.021678273526;0.000624077527988572
10-Jan-2018;LL-60;0;23.1163766649034;100;95.7596969604492;2326.57641601562;0;26.1;870.7;4137.58;1406570;1.55;21.7;0.941;339.949922418419;0.000374474829251558
17-May-2018;LL-60;3742.44851345486;22.674276775784;100;91.8158450656467;2288.22962782118;0;26.4;858.8;4053.12;1413977;2.03;19.45;0.946;348.86137099321;0.00050059800500598
07-Aug-2018;LL-60;3714.37025282118;22.4276811811659;100;91.8882446289062;2262.49997287326;0;26;858;3994.3;1417713;1.1;19.56;0.945;354.934030994167;0.000275316614106222
25-Nov-2018;LL-60;3755.81526692708;22.5378498501248;100;92.3151914808485;2311.38864474826;93.2961798773871;26.1;867.3;3997.83;1438122;1.3;21.07;0.941;359.725651165757;0.000325070702877876
07-Feb-2019;LL-60;3873.58772786458;23.3497411939833;100;94.4167921278212;2372.7763671875;0;29.2;857.8;3972.78;1448270;0.6;18.9;0.94;364.548250847014;0.000151004937861468
23-Apr-2019;LL-60;3838.1838921441;21.9946284823947;100;101.3896484375;2343.35856119792;0;26;859.7;3996.45;1476676;0.9;15.95;0.94;369.496928524065;0.000225149161319374
03-Jul-2019;LL-60;3888.70353190104;21.33904393514;100;98.6299158732096;2373.6403266059;0;25.7;863.9;3932.49;1549271;0.79;19.56;0.932;393.966926807188;0.000200850181019404
15-Aug-2017;LL-69;3268.88823784722;35.2619205050998;99.913330078125;60.092291937934;2190.32248263889;0;24.8;848.94;4267.91;811623;2.14;15.5719;0.9674;190.168724270193;0.000501165091743656
21-Dec-2017;LL-69;10.5595192379422;35.292226155599;99.9244367811415;61.9632487826877;2092.78797743056;0;27;886.6;4054.01;822933;5.28;17.94;0.95;202.992345850158;0.00130072007666365
10-Mar-2018;LL-69;0;26.3764504326714;0.109705059064759;59.0088310241699;2105.26901584201;0;25.1;879.7;3984.51;794521;1.99;15.98;0.958;199.402435933151;0.000499184748526276
04-Aug-2018;LL-69;2981.14039370888;28.5821031269274;100;52.9909294529965;2084.33159436678;0;27.6;870.5;3904.52;829713;3.13;17.33;0.962;212.500640283569;0.00080099292413599
27-Nov-2018;LL-69;2870.81358506944;28.9272049797906;100;50.4721289740668;1995.52977159288;0;25;878.2;3869.14;833025;0.97;16.93;0.957;215.299782380581;0.000250638870729773
09-Feb-2019;LL-69;3027.05645073785;34.0255542331272;99.9251157972548;55.7020632425944;2076.39105902778;0;25.7;881.5;3832.63;834308;0.48;16.8;0.952;217.685505775407;0.000125224687003504
04-May-2019;LL-69;3024.55406358507;33.7760683695475;100;54.5742577446832;2107.69940863715;0;25.5;881.5;3805.22;789880;0.76;16.8;0.952;207.578011258219;0.000199685757676078
02-Mar-2018;LL-90;2879.71411132812;29.1146655612522;100;48.2406226264106;2047.27258300781;0;27.000148874;838.2;3737.69;784213;7.49;16.6147;0.9652;209.8122102154;0.0019999038764492
08-May-2018;LL-90;2871.38614908854;29.3679161071777;100;51.6296424865723;2028.81495496962;0;27.000148874;875.4;NaN;NaN;NaN;16.77;0.96;NaN;NaN
03-Aug-2018;LL-90;2871.38614908854;29.3679161071777;100;51.6296424865723;2028.81495496962;0;27.000148874;876.2;3568.93;782594;2.68;17.7;0.952;219.279728097777;0.000750361881616414
27-Sep-2018;LL-90;2887.22368706597;29.4271943834093;100;48.2076699998644;2047.44584147135;0;25.136001848;887.6;3536.43;786801;0.97;18.17;0.948;222.484539493218;0.000274212698592186
04-Dec-2018;LL-90;2887.22368706597;29.4271943834093;100;48.2076699998644;2047.44584147135;0;25.136001848;878.7;3488.96;784704;1.05;17.72;0.933;224.910575071081;0.00030085873679445
28-Feb-2019;LL-90;2891.48247612847;29.1435727013482;100;48.4904407925076;2053.52785915799;0;25.6;889;3497.49;787406;1.75;18.12;0.935;225.134596524936;0.000500108595009202
05-Dec-2017;LL-97;3089.46367730035;33.1915757921007;100;48.4912236531576;2044.2861735026;165.093432956272;28.596883534;867;4281.87;902586;5.79;16.6147;0.9652;210.792480855327;0.00135038692433635
13-Jan-2018;LL-97;3156.47941080729;34.3545994228787;100;69.0090357462565;2149.8115234375;0;28.596883534;877.7;4237.7;909581;1.59;17.79;0.95;214.640252967412;0.000375062805328251
29-Mar-2018;LL-97;0;34.2332606845432;100;67.3892890082465;2150.52658420139;0;28.596883534;891.1;4184.02;893031;2.09;18.95;0.953;213.438511288187;0.000499270205512994
11-May-2018;LL-97;3101.66707356771;33.9986936781142;100;66.7593493991428;2118.94354926215;0;28.596883534;883.5;4104.5;887075;2.05;19.17;0.948;216.122548422463;0.000499202493577334
06-Aug-2018;LL-97;3061.98117404514;33.4168099297418;100;66.1012225680881;2087.28729926215;0;28.596883534;883.5;4049.58;930254;1.52;19.17;0.948;229.716168096445;0.000375206733973489
24-Sep-2018;LL-97;3091.62638346354;33.3323728773329;100;64.09253777398;2136.51974826389;0;28.596883534;879.5;4043.57;886924;0.71;17.54;0.952;219.341819233994;0.00017555658856459
30-Nov-2018;LL-97;3088.69967990451;33.3033968607585;100;64.4531504313151;2137.45290798611;165.221372816298;25.833876178;877.8;4038.58;924751;1.31;17.61;0.946;228.979245180237;0.000324266254774264
24-Feb-2019;LL-97;3072.39157443576;33.4986228942871;100;63.9450327555339;2131.86691623264;86.7370902167426;25.5;878.7;3998.09;930789;2.8;18.29;0.945;232.808416018649;0.000699844284646666
17-Aug-2018;LL-100;2775.48136393229;20.550074895223;100;51.6720496283637;2011.86683485243;0;25.413730078;853.94;3335.98;877372;7.36;18.0662;0.964;263.002775796018;0.00220139142294831
18-Aug-2018;LL-100;2741.32877604167;22.2140695783827;100;49.6555264790853;1999.8847249349;0;25.413730078;853.94;3269.2;857062;5.81;18.0662;0.964;262.162608589257;0.00177404038460951
28-Sep-2018;LL-100;2757.77818467882;23.1501835717095;100;47.5922410753038;2041.63829210069;0;25.063318982;853.94;3201.81;859925;1.44;18.0662;0.964;268.574649963614;0.000449543432451417
07-Dec-2018;LL-100;2761.63411458333;23.4236975775825;100;48.2022065056695;2038.47892252604;6.57512611813015;25.06993993;866.5;3165.35;856776;0.63;16.4;0.953;270.673385249656;0.000198990517943891
01-Mar-2019;LL-100;2747.25330946181;23.4156975216336;100;47.3604871961806;2037.6490749783;6.44541851679484;25.1;870.6;3103.1;857593;0.78;18.23;0.944;276.366536689117;0.000251298374937175
22-Nov-2017;LL-102;2884.66636827257;27.5827147165934;99.990729437934;50.8515417310927;2041.33473036024;0;24.9;835.88;3660.53;693300;7.7;16.8815;0.9645;189.39880290559;0.00209910501795144
23-Mar-2017;LL-102;2819.98091264205;29.6582710959695;99.9827152598988;46.7272682189941;2040.31531871449;0;28.7;880;3444.93;661939;23.59;18.51;0.95;192.148751934002;0.00680117168129346
05-Aug-2018;LL-102;2818.22222222222;29.7863699595133;100;49.1019282870822;1992.36949327257;0;25;877.3;3493.78;773689;34.04;17.95;0.953;221.447543920911;0.00964901837395332
