Time;Well;Rhoo_SC;Qo_SC;Qg_SC;Qw_SC;Rs;Bo_inv;SGg;T_sep;P_sep;RGO;API;Bg
05-Aug-2018;LL-102;877.9;3493.78;773689;34.04;15.36;0.954;0.865;318.15;1750000;221.447543920911;29.6800888483882;0.0628377451816476
10-Dec-2018;LL-102;879.1;2528.08;577297;23.22;18.03;0.942;0.905;315.45;1820000;228.353928673143;29.460072801729;0.0599081429827209
05-Feb-2019;LL-102;877.8;2496.84;564570;23.95;18.5;0.941;0.935;315.15;1803000;226.113807853126;29.6984506721349;0.0604154895062326
02-May-2019;LL-102;873.4;3084.61;652553;42.21;17.73;0.947;0.854;316.95;1806000;211.551217171701;30.5105335470575;0.0606596254001246
06-Jul-2019;LL-102;873.4;3346.59;740935;60.48;17.73;0.947;0.855;315.05;1730000;221.399992230898;30.5105335470575;0.0629448343141421
02-Mar-2018;LL-90;838.2;3737.69;784213;7.49;16.6147;0.9652;;314.68;1808946;;;
08-May-2018;LL-90;875.4;;;;16.77;0.96;;317.42;1771189;;;
03-Aug-2018;LL-90;876.2;3568.93;782594;2.68;17.7;0.952;;315.95;1752555;;;
27-Sep-2018;LL-90;887.6;3536.43;786801;0.97;18.17;0.948;;314.2;1770000;;;
04-Dec-2018;LL-90;878.7;3488.96;784704;1.05;17.72;0.933;0.887;317.05;1806000;;;
28-Feb-2019;LL-90;889;3497.49;787406;1.75;18.12;0.935;0.858;316.5;1816000;;;
05-Dec-2017;LL-97;867;4281.87;902586;5.79;16.6147;0.9652;;316.94;1834778;;;
13-Jan-2018;LL-97;877.7;4237.7;909581;1.59;17.79;0.95;;317.1;1785719;;;
29-Mar-2018;LL-97;891.1;4184.02;893031;2.09;18.95;0.953;;316.59;1792004;;;
11-May-2018;LL-97;883.5;4104.5;887075;2.05;19.17;0.948;;317.67;1713241;;;
06-Aug-2018;LL-97;883.5;4049.58;930254;1.52;19.17;0.948;;316.17;1754779;;;
24-Sep-2018;LL-97;879.5;4043.57;886924;0.71;17.54;0.952;;317.36;1805641;;;
30-Nov-2018;LL-97;877.8;4038.58;924751;1.31;17.61;0.946;0.885;316.95;1804000;;;
24-Feb-2019;LL-97;878.7;3998.09;930789;2.8;18.29;0.945;0.878;317.95;1780000;;;
17-Aug-2018;LL-100;853.94;3335.98;877372;7.36;18.0662;0.964;;316.57;1752114;;;
18-Aug-2018;LL-100;853.94;3269.2;857062;5.81;18.0662;0.964;;316.26;1753955;;;
28-Sep-2018;LL-100;853.94;3201.81;859925;1.44;18.0662;0.964;;316.91;1806813;;;
07-Dec-2018;LL-100;866.5;3165.35;856776;0.63;16.4;0.953;0.868;318.05;1802000;;;
01-Mar-2019;LL-100;870.6;3103.1;857593;0.78;18.23;0.944;0.857;318.05;1800000;;;
02-Nov-2017;RJS-680;820.81;3615.9;1161696;47.62;19.2783;0.9599;;315.04;1865706;;;
17-Jan-2018;RJS-680;858.9;3578.74;1224503;1.34;20.95;0.94;;316.78;1777069;;;
11-Apr-2018;RJS-680;864;3578.05;1199266;1.79;19.77;0.947;;316.94;1758466;;;
15-May-2018;RJS-680;865.8;3452.74;1236360;1.73;18.17;0.941;;316.29;1777033;;;
04-Jul-2018;RJS-680;856.5;3449.62;1229615;0.78;18.84;0.947;;316.14;1759068;;;
06-Sep-2018;RJS-680;858.3;3467.24;1231547;10.35;19.62;0.939;;317.33;1808143;;;
02-Oct-2018;RJS-680;856.5;3461.04;1192386;1.73;17.66;0.945;;317.17;1795326;;;
12-Dec-2018;RJS-680;858;3423.74;1185631;0.86;19.16;0.944;0.908;315.15;1714000;;;
06-Feb-2019;RJS-680;859;3455.85;1238255;1.82;20.82;0.934;;316.66;1782438;;;
25-Apr-2019;RJS-680;862.9;3378.47;1217165;0.68;21.59;0.921;0.898;315.15;1700000;;;
04-Jul-2019;RJS-680;858.3;3419.03;1223019;0.68;20.21;0.938;;315.33;1791785;;;
