Time;Well;Rhoo_SC;Qo_SC;Qg_SC;Qw_SC;Rs;Bo_inv;SGg;T_sep;P_sep;RGO;API;Bg
22-May-2017;LL-60;860.5;4321;1445509;8;18.43;0.945;0.891;299.15;1625000;334.531127053923;32.9392794886694;0.0636300633700258
13-Oct-2017;LL-60;870.7;4211.59;1389916;2.63;21.7;0.941;0.922;312.15;1850000;330.021678273526;31.0129206385667;0.0583201086981575
10-Jan-2018;LL-60;858.9;4137.58;1406570;1.55;18.34;0.955;0.904;317.25;1792400;339.949922418419;33.2456048434044;0.0611777371800042
17-May-2018;LL-60;858;4053.12;1413977;2.03;19.56;0.945;0.917;312.65;1780000;348.86137099321;33.4184149184149;0.0607106866140163
07-Aug-2018;LL-60;861.8;3994.3;1417713;1.1;17.26;0.944;0.901;318.15;1750000;354.934030994167;32.6912276630309;0.0628377451816476
25-Nov-2018;LL-60;857.8;3997.83;1438122;1.3;18.9;0.94;0.905;317.35;1760000;359.725651165757;33.4568664024248;0.0623236024646086
07-Feb-2019;LL-60;859.7;3972.78;1448270;0.6;15.95;0.94;1.013;317.15;1770000;364.548250847014;33.0922996394091;0.0619324361046147
23-Apr-2019;LL-60;863.9;3996.45;1476676;0.9;19.56;0.932;0.9;316.75;1735000;369.496928524065;32.2921055677741;0.063102106651344
03-Jul-2019;LL-60;865;3932.49;1549271;0.79;20.75;0.932;0.892;315.55;1758000;393.966926807188;32.0838150289017;0.0620406054862477
15-Aug-2017;LL-69;848.94;4267.91;811623;2.14;15.5719;0.9674;0.86;314.15;1921000;190.168724270193;35.1784460621481;0.0565244588323904
21-Dec-2017;LL-69;879.7;4054.01;822933;5.28;15.98;0.958;0.935;313.65;1765000;202.992345850158;29.3502898715471;0.0614224727114246
10-Mar-2018;LL-69;882.3;3984.51;794521;1.99;18.44;0.952;0.87;314.15;1804000;199.402435933151;28.8762892440213;0.0601904021158658
04-Aug-2018;LL-69;889.5;3904.52;829713;3.13;17.12;0.949;0.959;318.15;1750000;212.500640283569;27.5781337830242;0.0628377451816476
27-Nov-2018;LL-69;881.5;3869.14;833025;0.97;16.8;0.952;0.866;318.15;1805000;215.299782380581;29.0218377765173;0.0609230216442567
09-Feb-2019;LL-69;885.7;3832.63;834308;0.48;19.11;0.929;0.89;317.35;1798000;217.685505775407;28.2606413006661;0.0610064184303176
04-May-2019;LL-69;883.2;3805.22;789880;0.76;16.09;0.944;0.883;316.45;1808000;207.578011258219;28.7128623188406;0.0604969371633116
23-Mar-2018;LL-102;876.5;3444.93;725705;23.59;17.79;0.956;0.996;317.75;1765000;210.658852284372;29.937535653166;0.0622253808514432
22-Nov-2017;LL-102;876.6;3660.53;755095;7.7;17.35;0.955;0.862;313.45;1872000;206.280238107596;29.9191193246635;0.0578747520850007
