Time,Well,Rhoo_SC,Qo_SC,Qg_SC,Qw_SC,Rs,Bo_inv,SGg,T_sep,P_sep,N2,CO2,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10,Valid,PusChoke,TusChoke,u,DeltaPManifold,PdsSDV,Qgi,,
02-Nov-2017 18:00,RJS-680,820.81,3615.9,1161696,47.62,19.2783,0.9599,,315.04,1865706,,,,,,,,,,,,,,,,3368.62934027778,21.8815511067708,100,73.1943545871311,2214.13948567708,0,26.200628298,820.81
17-Jan-2018 20:00,RJS-680,858.9,3578.74,1224503,1.34,20.95,0.94,,316.78,1777069,,,,,,,,,,,,,,,,0,24.1575073666043,98.6103854709201,77.241209242079,2194.93017578125,0,26.200628298,858.9
11-Apr-2018 12:00,RJS-680,864,3578.05,1199266,1.79,19.77,0.947,,316.94,1758466,,,,,,,,,,,,,,,,3351.49963378906,24.3697590827942,97.4204139709473,78.1349182128906,2169.29559326172,0,26.200628298,864
15-May-2018 13:30,RJS-680,865.8,3452.74,1236360,1.73,18.17,0.941,,316.29,1777033,0.77,19.75,63.19,8.2,4.47,0.66,1.2,0.27,0.35,0.29,0.35,0.28,0.22,,1,3302.88856336806,23.977819442749,100,73.8050537109375,2166.07259114583,0,26.200628298,865.8
04-Jul-2018 23:00,RJS-680,856.5,3449.62,1229615,0.78,18.84,0.947,,316.14,1759068,,,,,,,,,,,,,,,,3285.11054144965,23.7901994917128,99.8429209391276,73.3889677259657,2143.35997178819,0,26.200628298,856.5
06-Sep-2018 13:00,RJS-680,858.3,3467.24,1231547,10.35,19.62,0.939,,317.33,1808143,0.72,20.55,60.53,7.99,4.69,0.82,1.61,0.41,0.69,0.66,0.55,0.37,0.41,,1,3326.99704318576,23.8925249311659,99.6709865993924,73.7724634806315,2181.44835069444,0,26.200628298,858.3
02-Oct-2018 17:00,RJS-680,856.5,3461.04,1192386,1.73,17.66,0.945,,317.17,1795326,,,,,,,,,,,,,,,,3305.32826063368,23.8937850528293,99.6807420518663,72.6388278537326,2179.70711263021,0,27.701218912,856.5
12-Dec-2018 10:00,RJS-680,858,3423.74,1185631,0.86,19.16,0.944,0.908,315.15,1714000,0.75,20,63.13,8.16,4.45,0.67,1.21,0.25,0.33,0.24,0.29,0.32,0.17,0.03,1,3296.22119140625,23.8927082485623,99.1722276475694,71.1218634711371,2187.43334960938,0,27.701218912,858
06-Feb-2019 17:00,RJS-680,859,3455.85,1238255,1.82,20.82,0.934,,316.66,1782438,,,,,,,,,,,,,,,,3317.33515082465,23.7657366858588,99.1611082288954,75.2304416232639,2163.64727105035,0,26.18620249,859
25-Apr-2019 14:00,RJS-680,862.9,3378.47,1217165,0.68,21.59,0.921,0.898,315.15,1700000,0.75,20.7,62.91,8.12,4.45,0.69,1.27,0.25,0.33,0.23,0.12,0.09,0.06,0.03,1,3305,24.13466167,99.60001373,75.6869278,2191.500977,0,,
